               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043628,            0.019111,            0.068721,           0.0049069,            0.025272,           0.0031403,           0.0014914,              0.0273,            0.025779,            0.068261,           0.0032405,           0.0032405,             0.07336
                   1,            0.029773,            0.012765,            0.068173,            0.010911,             0.99866,            0.020293,            0.012842,            0.025608,            0.017493,            0.068093,           0.0065106,           0.0065106,             0.04178
                   2,            0.025925,           0.0092633,             0.06785,            0.010827,             0.99902,            0.020519,            0.015099,            0.020367,            0.014367,             0.06783,           0.0097708,           0.0097708,            0.010191
                   3,            0.023545,            0.007434,            0.067478,            0.011186,             0.99902,            0.025594,            0.019139,            0.017081,            0.011277,            0.067624,           0.0097953,           0.0097953,           0.0097953
                   4,            0.020577,            0.006377,            0.067119,            0.011336,             0.99902,            0.027909,            0.021798,            0.015567,            0.010256,            0.067397,           0.0097953,           0.0097953,           0.0097953
                   5,            0.017987,            0.005929,            0.066742,            0.011357,             0.99902,            0.031605,            0.024494,            0.016823,           0.0092908,            0.067083,           0.0097804,           0.0097804,           0.0097804
                   6,            0.017896,           0.0056526,             0.06634,            0.011342,             0.99902,              0.0378,            0.028927,            0.016117,           0.0093982,            0.066586,           0.0097655,           0.0097655,           0.0097655
                   7,              0.0172,           0.0054296,            0.065358,            0.011164,             0.99902,            0.058027,            0.046331,             0.01346,           0.0088427,            0.065118,           0.0097506,           0.0097506,           0.0097506
                   8,            0.017213,            0.005348,             0.06424,            0.011328,             0.99885,            0.092412,            0.064098,            0.016345,           0.0086629,            0.064447,           0.0097357,           0.0097357,           0.0097357
                   9,             0.01696,           0.0052609,            0.062938,             0.01136,             0.99902,             0.12341,            0.097838,            0.013155,           0.0085769,              0.0638,           0.0097207,           0.0097207,           0.0097207
                  10,            0.016912,           0.0051027,            0.061239,             0.83239,             0.13508,             0.20416,             0.15493,            0.015388,           0.0084186,            0.060242,           0.0097058,           0.0097058,           0.0097058
                  11,            0.016662,            0.004981,             0.05904,             0.78422,             0.17918,             0.25178,             0.19614,            0.013848,           0.0082544,            0.058144,           0.0096909,           0.0096909,           0.0096909
                  12,            0.017647,           0.0050834,            0.056366,             0.73019,             0.31016,             0.38653,              0.2849,            0.014544,           0.0084127,             0.05532,            0.009676,            0.009676,            0.009676
                  13,            0.017938,           0.0049987,            0.053523,             0.75142,              0.3291,             0.53976,             0.40029,            0.014942,           0.0082862,            0.052048,           0.0096611,           0.0096611,           0.0096611
                  14,            0.018713,           0.0049738,            0.049745,             0.74529,             0.48211,             0.70287,             0.49357,            0.015857,           0.0078877,            0.048027,           0.0096462,           0.0096462,           0.0096462
                  15,            0.019741,           0.0048824,            0.045873,              0.7653,             0.57799,             0.76628,             0.55816,            0.016169,           0.0081102,            0.044634,           0.0096313,           0.0096313,           0.0096313
                  16,            0.020606,           0.0048801,            0.041106,             0.86809,             0.75821,             0.91589,             0.64231,            0.017266,            0.007979,            0.038563,           0.0096164,           0.0096164,           0.0096164
                  17,            0.021939,           0.0048693,            0.036094,             0.91833,             0.86706,             0.94766,             0.68734,            0.017907,            0.007956,            0.033839,           0.0096015,           0.0096015,           0.0096015
                  18,            0.023344,           0.0048433,            0.031183,             0.93414,             0.92626,             0.95543,             0.65676,            0.019087,           0.0079531,            0.029094,           0.0095866,           0.0095866,           0.0095866
                  19,            0.023865,            0.004839,            0.026395,             0.95499,             0.95181,             0.98106,             0.69627,            0.020593,           0.0077141,             0.02379,           0.0095717,           0.0095717,           0.0095717
                  20,            0.025017,           0.0047305,            0.022495,             0.92719,             0.95221,             0.97231,             0.65997,            0.021307,           0.0078249,            0.020171,           0.0095568,           0.0095568,           0.0095568
                  21,            0.025262,           0.0046954,             0.01899,             0.93007,             0.96781,             0.98744,             0.72182,            0.019769,           0.0075623,            0.017072,           0.0095419,           0.0095419,           0.0095419
                  22,            0.025293,           0.0046869,            0.015825,             0.91136,             0.98465,             0.98896,             0.69999,            0.021797,           0.0074802,            0.014095,            0.009527,            0.009527,            0.009527
                  23,            0.025398,           0.0046652,             0.01338,             0.91752,             0.98436,             0.98668,             0.71021,            0.020351,           0.0075797,            0.012582,           0.0095121,           0.0095121,           0.0095121
                  24,            0.024964,           0.0045316,            0.011694,             0.95321,              0.9976,             0.98616,             0.73191,            0.019214,           0.0073123,            0.011261,           0.0094971,           0.0094971,           0.0094971
                  25,            0.025126,           0.0045214,            0.010604,             0.95621,             0.99843,             0.99128,             0.70938,            0.019602,            0.007305,            0.009991,           0.0094822,           0.0094822,           0.0094822
                  26,            0.024119,           0.0045619,           0.0095739,             0.95759,             0.99698,             0.98662,             0.75083,            0.017923,           0.0072384,           0.0090734,           0.0094673,           0.0094673,           0.0094673
                  27,            0.023981,           0.0044723,           0.0088554,             0.93835,             0.99503,             0.98515,             0.73755,            0.018781,           0.0072195,           0.0083278,           0.0094524,           0.0094524,           0.0094524
                  28,             0.02361,           0.0044677,           0.0083402,              0.9626,             0.99576,             0.98907,             0.74735,            0.018213,           0.0071514,           0.0082925,           0.0094375,           0.0094375,           0.0094375
                  29,            0.023436,            0.004405,            0.008025,             0.96358,             0.99689,             0.99238,             0.75358,            0.017393,           0.0070265,           0.0076328,           0.0094226,           0.0094226,           0.0094226
                  30,            0.023005,           0.0044712,           0.0077893,              0.9841,             0.99378,             0.99094,              0.7649,            0.017494,           0.0070593,           0.0073609,           0.0094077,           0.0094077,           0.0094077
                  31,            0.022972,           0.0044691,           0.0074017,             0.96702,             0.99337,             0.99201,             0.75559,            0.017104,           0.0071102,           0.0077586,           0.0093928,           0.0093928,           0.0093928
                  32,            0.022302,           0.0043786,           0.0069972,             0.98937,             0.99819,             0.99386,             0.78055,            0.016151,           0.0069012,           0.0068807,           0.0093779,           0.0093779,           0.0093779
                  33,            0.022177,            0.004441,           0.0068813,             0.98719,             0.99648,             0.99291,             0.77853,            0.015716,           0.0071193,           0.0070932,            0.009363,            0.009363,            0.009363
                  34,            0.021782,            0.004411,           0.0065123,             0.98838,             0.99818,             0.99257,             0.76956,            0.016412,           0.0067963,           0.0061746,           0.0093481,           0.0093481,           0.0093481
                  35,            0.021806,           0.0043855,            0.006369,             0.98492,             0.99626,              0.9918,             0.78722,            0.015818,           0.0070047,           0.0062778,           0.0093332,           0.0093332,           0.0093332
                  36,            0.021413,           0.0043239,           0.0062036,             0.98105,             0.99787,             0.99225,             0.76526,            0.015798,           0.0069715,           0.0060371,           0.0093183,           0.0093183,           0.0093183
                  37,            0.021618,           0.0043579,            0.006272,             0.99459,              0.9975,             0.99415,             0.79305,            0.014808,           0.0069199,           0.0062379,           0.0093034,           0.0093034,           0.0093034
                  38,            0.021352,           0.0044199,           0.0060677,             0.98917,             0.98818,              0.9941,             0.79228,            0.014595,           0.0070873,           0.0069719,           0.0092884,           0.0092884,           0.0092884
                  39,             0.02111,           0.0044102,           0.0057597,             0.99558,             0.99859,             0.99413,             0.80446,            0.014343,           0.0069199,           0.0053861,           0.0092735,           0.0092735,           0.0092735
                  40,            0.020879,           0.0043333,           0.0055669,             0.99614,             0.99882,             0.99416,             0.79562,            0.014228,           0.0066792,           0.0054456,           0.0092586,           0.0092586,           0.0092586
                  41,            0.020665,           0.0042798,           0.0054714,             0.99174,             0.99674,             0.99228,             0.80388,            0.013939,           0.0066914,           0.0055616,           0.0092437,           0.0092437,           0.0092437
                  42,            0.020339,           0.0042417,           0.0053517,             0.99592,             0.99878,             0.99418,             0.81789,            0.013375,            0.006543,           0.0051128,           0.0092288,           0.0092288,           0.0092288
                  43,            0.020239,           0.0042865,           0.0052417,             0.99333,              0.9984,             0.99406,             0.80863,            0.013876,           0.0065501,           0.0050347,           0.0092139,           0.0092139,           0.0092139
                  44,            0.020253,            0.004254,           0.0051285,             0.99083,             0.99875,             0.99244,              0.8201,             0.01314,           0.0066313,           0.0051124,            0.009199,            0.009199,            0.009199
                  45,             0.01998,           0.0041696,           0.0050159,              0.9951,             0.99882,             0.99386,             0.82142,            0.013237,           0.0065736,            0.004938,           0.0091841,           0.0091841,           0.0091841
                  46,            0.019633,            0.004167,           0.0049646,             0.99404,             0.99882,             0.99322,             0.82478,            0.012811,           0.0064178,           0.0048001,           0.0091692,           0.0091692,           0.0091692
                  47,            0.019579,           0.0041986,           0.0048413,             0.98874,             0.99826,             0.99337,             0.82814,             0.01354,           0.0064651,            0.004687,           0.0091543,           0.0091543,           0.0091543
                  48,            0.019433,           0.0041474,           0.0047881,             0.99666,             0.99882,             0.99413,             0.83115,            0.012492,           0.0063916,           0.0046443,           0.0091394,           0.0091394,           0.0091394
                  49,            0.019554,           0.0041449,           0.0047921,             0.97897,             0.99753,             0.99251,             0.82195,            0.013094,           0.0064283,           0.0048767,           0.0091245,           0.0091245,           0.0091245
